Winning Player's 6 Pokemon,Losing Player's 6 Pokemon,Winning Team
Urshifu-Rapid-Strike / Tapu Lele / Whimsicott / Heatran / Gengar / Rillaboom,Incineroar / Porygon2 / Torkoal / Urshifu-Rapid-Strike / Thundurus / Comfey,0
Incineroar / Rillaboom / Regieleki / Tornadus / Amoonguss / Urshifu-Single-Strike,Politoed / Urshifu-Rapid-Strike / Tsareena / Tornadus / Regieleki / Shedinja,0
Glastrier / Hatterene / Stakataka / Rillaboom / Tapu Fini / Indeedee-F,Incineroar / Glastrier / Dusclops / Metagross / Tapu Fini / Zapdos,0
Glastrier / Mimikyu / Marowak-Alola / Amoonguss / Zapdos / Reuniclus,Zapdos-Galar / Tapu Lele / Rillaboom / Incineroar / Alakazam / Togekiss,0
Dracovish / Tyranitar / Amoonguss / Incineroar / Landorus / Whimsicott,Metagross / Regieleki / Landorus-Therian / Clefairy / Urshifu-Rapid-Strike / Dragapult,0
Whimsicott / Urshifu-Rapid-Strike / Togekiss / Rillaboom / Incineroar / Nihilego,Tornadus / Bronzong / Urshifu-Single-Strike / Incineroar / Regieleki / Naganadel,0
Hatterene / Rillaboom / Landorus / Indeedee-F / Torkoal / Stakataka,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Goodra / Kartana / Heatran / Urshifu-Rapid-Strike / Tapu Lele / Amoonguss,Porygon2 / Incineroar / Amoonguss / Hatterene / Stakataka / Indeedee-F,0
Incineroar / Tapu Lele / Rillaboom / Regieleki / Regidrago / Thundurus,Incineroar / Rillaboom / Urshifu-Single-Strike / Regieleki / Rotom-Wash / Amoonguss,0
Naganadel / Urshifu-Rapid-Strike / Heatran / Grimmsnarl / Rillaboom / Articuno-Galar,Politoed / Kingdra / Incineroar / Rillaboom / Landorus / Celesteela,0
Zapdos-Galar / Landorus / Rillaboom / Celesteela / Tapu Fini / Incineroar,Porygon2 / Indeedee-F / Torkoal / Venusaur / Stakataka / Zapdos-Galar,0
Dragonite / Incineroar / Amoonguss / Porygon2 / Rillaboom / Stakataka,Rillaboom / Tapu Lele / Incineroar / Mamoswine / Salamence / Whimsicott,0
Cresselia / Politoed / Tapu Bulu / Escavalier / Thundurus-Therian / Incineroar,Dragapult / Amoonguss / Urshifu-Rapid-Strike / Heatran / Rillaboom / Whimsicott,0
Volcarona / Rillaboom / Landorus / Tyranitar / Zapdos / Urshifu-Rapid-Strike,Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,0
Landorus / Urshifu-Single-Strike / Sableye / Rillaboom / Incineroar / Dracovish,Spectrier / Regidrago / Incineroar / Whimsicott / Gothitelle / Urshifu-Rapid-Strike,0
Tapu Lele / Naganadel / Whimsicott / Incineroar / Urshifu-Rapid-Strike / Kartana,Tsareena / Whimsicott / Volcarona / Regieleki / Landorus-Therian / Nihilego,0
Hatterene / Indeedee-F / Torkoal / Tapu Fini / Landorus / Ferrothorn,Rillaboom / Celesteela / Incineroar / Regieleki / Urshifu-Rapid-Strike / Clefairy,0
Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,Incineroar / Golisopod / Gothitelle / Gengar / Shedinja / Urshifu-Rapid-Strike,0
Cresselia / Snorlax / Weavile / Amoonguss / Urshifu-Rapid-Strike / Heatran,Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,0
Celesteela / Tapu Fini / Tsareena / Heatran / Nidoqueen / Whimsicott,Meowstic / Milotic / Landorus-Therian / Volcarona / Shiinotic / Rillaboom,0
Torkoal / Lilligant / Indeedee-F / Hatterene / Stakataka / Landorus-Therian,Rillaboom / Incineroar / Urshifu-Rapid-Strike / Togekiss / Nihilego / Volcarona,0
Incineroar / Urshifu-Rapid-Strike / Rillaboom / Landorus / Regieleki / Registeel,Urshifu-Rapid-Strike / Rillaboom / Incineroar / Nihilego / Spectrier / Amoonguss,0
Nihilego / Clefairy / Cresselia / Landorus-Therian / Rillaboom / Entei,Dusclops / Sylveon / Incineroar / Rillaboom / Urshifu-Rapid-Strike / Registeel,0
Urshifu-Rapid-Strike / Moltres-Galar / Ferrothorn / Glastrier / Landorus / Zapdos-Galar,Tapu Fini / Rillaboom / Incineroar / Nihilego / Porygon2 / Zapdos-Galar,0
Ninetales-Alola / Urshifu-Rapid-Strike / Kartana / Incineroar / Landorus-Therian / Regieleki,Nihilego / Rillaboom / Urshifu-Single-Strike / Incineroar / Regieleki / Tapu Fini,0
Sylveon / Landorus / Zapdos / Incineroar / Rillaboom / Urshifu-Rapid-Strike,Tsareena / Whimsicott / Volcarona / Regieleki / Landorus-Therian / Nihilego,0
Dracovish / Heatran / Landorus-Therian / Rillaboom / Tyranitar / Tornadus,Urshifu-Rapid-Strike / Sylveon / Landorus / Porygon2 / Incineroar / Rillaboom,0
Incineroar / Urshifu-Rapid-Strike / Rillaboom / Regieleki / Tsareena / Moltres-Galar,Clefairy / Rillaboom / Nihilego / Dragonite / Urshifu-Rapid-Strike / Incineroar,0
Urshifu-Rapid-Strike / Tsareena / Celesteela / Charizard / Torkoal / Dusclops,Rillaboom / Tapu Lele / Incineroar / Mamoswine / Salamence / Whimsicott,0
Moltres-Galar / Grimmsnarl / Naganadel / Rillaboom / Urshifu-Rapid-Strike / Heatran,Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,0
Incineroar / Landorus / Celesteela / Tapu Fini / Zapdos-Galar / Rillaboom,Urshifu-Rapid-Strike / Tsareena / Celesteela / Lilligant / Torkoal / Stakataka,0
Indeedee-F / Hatterene / Stakataka / Landorus / Lilligant / Torkoal,Incineroar / Rillaboom / Whimsicott / Umbreon / Dragapult / Rotom-Wash,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Cresselia / Politoed / Tapu Bulu / Escavalier / Thundurus-Therian / Incineroar,0
Suicune / Tsareena / Rillaboom / Entei / Zapdos-Galar / Regieleki,Rillaboom / Nihilego / Incineroar / Spectrier / Amoonguss / Urshifu-Rapid-Strike,0
Dragapult / Amoonguss / Urshifu-Rapid-Strike / Heatran / Rillaboom / Whimsicott,Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,0
Garchomp / Incineroar / Tapu Fini / Zapdos / Kartana / Slowking-Galar,Azumarill / Incineroar / Urshifu-Single-Strike / Clefable / Landorus / Celesteela,0
Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Amoonguss / Heatran / Drifblim,Indeedee-F / Hatterene / Stakataka / Torkoal / Lilligant / Landorus-Therian,0
Whimsicott / Urshifu-Single-Strike / Tsareena / Incineroar / Dragapult / Tapu Fini,Araquanid / Amoonguss / Ditto / Lycanroc-Dusk / Entei / Silvally,0
Mimikyu / Indeedee-F / Slowking-Galar / Arctozolt / Ninetales-Alola / Landorus-Therian,Dragapult / Urshifu-Rapid-Strike / Nihilego / Heatran / Regieleki / Togekiss,0
Gardevoir / Garchomp / Ferrothorn / Walrein / Thundurus / Urshifu-Single-Strike,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Indeedee-F / Nihilego / Gastrodon / Stakataka / Incineroar / Ferrothorn,Charizard / Torkoal / Indeedee-F / Lilligant / Stakataka / Porygon2,0
Heatran / Gengar / Goodra / Rillaboom / Urshifu-Rapid-Strike / Whimsicott,Sylveon / Gastrodon / Dusclops / Incineroar / Regieleki / Urshifu-Single-Strike,0
Entei / Suicune / Naganadel / Ninetales-Alola / Rillaboom / Porygon2,Urshifu-Rapid-Strike / Incineroar / Rillaboom / Ninetales-Alola / Landorus / Whimsicott,0
Glaceon / Abomasnow / Hatterene / Indeedee-F / Stakataka / Crawdaunt,Blaziken / Gastrodon / Sylveon / Celesteela / Indeedee-F / Regieleki,0
Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,Porygon2 / Indeedee-F / Glastrier / Toxtricity / Torkoal / Lilligant,0
Landorus / Tapu Koko / Incineroar / Urshifu-Rapid-Strike / Porygon2 / Whimsicott,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Celesteela / Tapu Fini / Spectrier / Mienshao / Regieleki / Rillaboom,Tapu Lele / Naganadel / Whimsicott / Incineroar / Urshifu-Rapid-Strike / Kartana,0
Rillaboom / Tapu Lele / Nidoqueen / Drifblim / Heatran / Urshifu-Rapid-Strike,Latios / Tapu Fini / Kartana / Krookodile / Gothitelle / Talonflame,0
Tapu Lele / Drifblim / Naganadel / Amoonguss / Urshifu-Rapid-Strike / Heatran,Whimsicott / Urshifu-Rapid-Strike / Rillaboom / Incineroar / Nihilego / Togekiss,0
Gothitelle / Politoed / Kingdra / Azumarill / Incineroar / Marowak-Alola,Sirfetchd / Zapdos-Galar / Articuno-Galar / Porygon2 / Golduck / Moltres-Galar,0
Togekiss / Nihilego / Spectrier / Incineroar / Urshifu-Rapid-Strike / Rillaboom,Regieleki / Urshifu-Rapid-Strike / Entei / Indeedee-F / Kommo-o / Tornadus,0
Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Amoonguss / Heatran / Drifblim,Tapu Lele / Drifblim / Naganadel / Amoonguss / Urshifu-Rapid-Strike / Heatran,0
Incineroar / Urshifu-Rapid-Strike / Kartana / Ninetales-Alola / Zapdos / Nidoqueen,Stakataka / Politoed / Primarina / Marowak-Alola / Weezing-Galar / Zapdos,0
Azumarill / Amoonguss / Rillaboom / Zapdos / Kommo-o / Entei,Nihilego / Rillaboom / Urshifu-Single-Strike / Incineroar / Regieleki / Tapu Fini,0
Politoed / Indeedee-F / Whimsicott / Incineroar / Kartana / Zapdos,Pelipper / Ludicolo / Latios / Landorus-Therian / Regieleki / Bisharp,0
Celesteela / Tapu Fini / Spectrier / Mienshao / Regieleki / Rillaboom,Glastrier / Mimikyu / Marowak-Alola / Amoonguss / Zapdos / Reuniclus,0
Regieleki / Latios / Rillaboom / Mamoswine / Sableye / Weezing-Galar,Torkoal / Dusclops / Porygon-Z / Sylveon / Conkeldurr / Incineroar,0
Incineroar / Glastrier / Dusclops / Metagross / Tapu Fini / Zapdos,Glaceon / Abomasnow / Hatterene / Indeedee-F / Stakataka / Crawdaunt,0
Entei / Suicune / Raikou / Naganadel / Ninetales-Alola / Rillaboom,Whimsicott / Dracovish / Ninetales-Alola / Urshifu-Single-Strike / Kartana / Entei,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Dragapult / Amoonguss / Urshifu-Rapid-Strike / Heatran / Rillaboom / Whimsicott,0
Azumarill / Volcarona / Tornadus / Stakataka / Rillaboom / Urshifu-Single-Strike,Landorus / Tapu Koko / Incineroar / Urshifu-Rapid-Strike / Porygon2 / Whimsicott,0
Rillaboom / Urshifu-Single-Strike / Sylveon / Landorus / Porygon2 / Incineroar,Kartana / Urshifu-Single-Strike / Incineroar / Grimmsnarl / Tapu Fini / Venusaur,0
Kommo-o / Nihilego / Rillaboom / Incineroar / Regieleki / Tapu Fini,Riolu / Politoed / Rillaboom / Incineroar / Barraskewda / Tsareena,0
Cresselia / Politoed / Tapu Bulu / Escavalier / Thundurus-Therian / Incineroar,Heatran / Whimsicott / Zapdos / Garchomp / Naganadel / Ninetales-Alola,0
Suicune / Entei / Amoonguss / Togekiss / Rillaboom / Latios,Indeedee-F / Nihilego / Gastrodon / Stakataka / Incineroar / Ferrothorn,0
Nihilego / Togekiss / Rillaboom / Urshifu-Rapid-Strike / Raichu / Ninetales-Alola,Incineroar / Landorus / Regieleki / Rillaboom / Tapu Fini / Urshifu-Rapid-Strike,0
Urshifu-Single-Strike / Tsareena / Regieleki / Tapu Fini / Tornadus / Gengar,Tsareena / Politoed / Urshifu-Rapid-Strike / Incineroar / Regieleki / Celesteela,0
Landorus / Togekiss / Incineroar / Urshifu-Rapid-Strike / Rillaboom / Regieleki,Rillaboom / Tapu Lele / Incineroar / Mamoswine / Salamence / Whimsicott,0
Rillaboom / Heatran / Zapdos / Milotic / Incineroar / Grimmsnarl,Hatterene / Indeedee-F / Torkoal / Tapu Fini / Landorus / Ferrothorn,0
Rillaboom / Incineroar / Urshifu-Single-Strike / Regieleki / Regidrago / Tapu Lele,Rillaboom / Ninetales-Alola / Cresselia / Urshifu-Rapid-Strike / Volcarona / Landorus,0
Dragonite / Incineroar / Amoonguss / Porygon2 / Rillaboom / Stakataka,Incineroar / Golisopod / Gothitelle / Gengar / Urshifu-Rapid-Strike / Amoonguss,0
Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,Skarmory / Reuniclus / Dunsparce / Barraskewda / Regieleki / Pelipper,0
Tapu Bulu / Hitmonchan / Gardevoir / Incineroar / Aegislash-Shield / Lapras,Bronzong / Landorus-Therian / Togekiss / Thundurus / Tapu Fini / Incineroar,0
Zapdos-Galar / Raichu / Incineroar / Ferrothorn / Tapu Fini / Garchomp,Tapu Fini / Incineroar / Landorus-Therian / Amoonguss / Kartana / Zapdos,0
Incineroar / Rillaboom / Araquanid / Porygon2 / Tapu Lele / Urshifu-Single-Strike,Politoed / Kingdra / Rillaboom / Porygon2 / Glastrier / Dragonite,0
Tyranitar / Entei / Zapdos / Mamoswine / Rillaboom / Tapu Fini,Rillaboom / Volcarona / Landorus / Ninetales-Alola / Porygon2 / Primarina,0
Landorus-Therian / Volcarona / Rillaboom / Articuno-Galar / Tapu Fini / Amoonguss,Tapu Fini / Incineroar / Kartana / Regieleki / Celesteela / Landorus-Therian,0
Incineroar / Urshifu-Single-Strike / Rillaboom / Landorus / Regieleki / Slowbro,Lilligant / Torkoal / Stakataka / Indeedee-F / Urshifu-Single-Strike / Glastrier,0
Sirfetchd / Zapdos-Galar / Articuno-Galar / Porygon2 / Golduck / Moltres-Galar,Darmanitan-Galar / Tsareena / Regieleki / Tapu Fini / Heatran / Cresselia,0
Dracovish / Tyranitar / Amoonguss / Bronzong / Volcarona / Tsareena,Politoed / Zapdos / Rillaboom / Urshifu-Single-Strike / Incineroar / Spectrier,0
Charizard / Torkoal / Indeedee-F / Lilligant / Stakataka / Porygon2,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
Rillaboom / Incineroar / Celesteela / Landorus / Tapu Fini / Zapdos-Galar,Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,0
Goodra / Tsareena / Tornadus / Urshifu-Rapid-Strike / Incineroar / Landorus,Hatterene / Rillaboom / Landorus / Indeedee-F / Torkoal / Stakataka,0
Rillaboom / Urshifu-Single-Strike / Tapu Fini / Landorus / Torkoal / Porygon2,Rillaboom / Dragapult / Volcarona / Scizor / Clefairy / Milotic,0
Sylveon / Moltres-Galar / Incineroar / Urshifu-Rapid-Strike / Rillaboom / Amoonguss,Nihilego / Tornadus / Tsareena / Tapu Fini / Heatran / Urshifu-Single-Strike,0
Indeedee-F / Drampa / Incineroar / Swampert / Porygon2 / Slowking-Galar,Regieleki / Zapdos-Galar / Tsareena / Nihilego / Garchomp / Incineroar,0
Spectrier / Urshifu-Rapid-Strike / Amoonguss / Incineroar / Regieleki / Rillaboom,Thundurus / Incineroar / Kartana / Tapu Fini / Urshifu-Single-Strike / Landorus,0
Tapu Lele / Drifblim / Tsareena / Heatran / Urshifu-Single-Strike / Dracovish,Incineroar / Urshifu-Rapid-Strike / Ninetales-Alola / Arctozolt / Landorus-Therian / Gastrodon,0
Regieleki / Urshifu-Single-Strike / Rillaboom / Incineroar / Landorus / Tapu Fini,Moltres-Galar / Nihilego / Tapu Lele / Tapu Koko / Manectric / Reuniclus,0
Sylveon / Gastrodon / Dusclops / Incineroar / Regieleki / Urshifu-Single-Strike,Gardevoir / Garchomp / Celesteela / Walrein / Talonflame / Rillaboom,0
Politoed / Urshifu-Rapid-Strike / Tsareena / Tornadus / Regieleki / Shedinja,Latios / Tapu Fini / Kartana / Krookodile / Gothitelle / Talonflame,0
Dracovish / Tyranitar / Amoonguss / Incineroar / Landorus / Whimsicott,Porygon2 / Incineroar / Amoonguss / Hatterene / Stakataka / Indeedee-F,0
Pelipper / Suicune / Regieleki / Incineroar / Kartana / Zapdos-Galar,Incineroar / Torkoal / Dusclops / Conkeldurr / Porygon-Z / Sylveon,0
Spectrier / Regidrago / Incineroar / Whimsicott / Gothitelle / Urshifu-Rapid-Strike,Incineroar / Landorus / Celesteela / Tapu Fini / Zapdos-Galar / Rillaboom,0
Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Heatran / Amoonguss / Drifblim,Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,0
Glastrier / Mimikyu / Marowak-Alola / Amoonguss / Zapdos / Reuniclus,Hatterene / Rillaboom / Landorus / Indeedee-F / Torkoal / Stakataka,0
Entei / Suicune / Raikou / Naganadel / Ninetales-Alola / Rillaboom,Rillaboom / Heatran / Incineroar / Amoonguss / Urshifu-Rapid-Strike / Thundurus,0
Nihilego / Togekiss / Rillaboom / Urshifu-Rapid-Strike / Volcarona / Raichu,Rillaboom / Incineroar / Moltres-Galar / Slowking-Galar / Urshifu-Rapid-Strike / Registeel,0
Ninetales-Alola / Arctozolt / Urshifu-Rapid-Strike / Moltres-Galar / Incineroar / Indeedee-F,Incineroar / Gengar / Kartana / Landorus / Zapdos-Galar / Tapu Fini,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Urshifu-Rapid-Strike / Tsareena / Celesteela / Charizard / Torkoal / Dusclops,0
Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,0
Charizard / Torkoal / Indeedee-F / Lilligant / Stakataka / Porygon2,Tapu Lele / Urshifu-Rapid-Strike / Naganadel / Amoonguss / Heatran / Drifblim,0
Azumarill / Volcarona / Tornadus / Stakataka / Rillaboom / Urshifu-Single-Strike,Indeedee-F / Throh / Oranguru / Slowbro-Galar / Porygon-Z / Incineroar,0
Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,Tyranitar / Entei / Zapdos / Mamoswine / Rillaboom / Tapu Fini,0
Dragapult / Amoonguss / Urshifu-Rapid-Strike / Heatran / Rillaboom / Whimsicott,Hatterene / Indeedee-F / Torkoal / Tapu Fini / Landorus / Ferrothorn,0
Dragapult / Clefairy / Entei / Rillaboom / Registeel / Suicune,Indeedee-F / Hatterene / Stakataka / Torkoal / Lilligant / Landorus-Therian,0
Ninetales-Alola / Arctozolt / Landorus / Volcarona / Tsareena / Tornadus,Tapu Fini / Zapdos-Galar / Amoonguss / Scizor / Incineroar / Regieleki,0
Landorus-Therian / Volcarona / Rillaboom / Articuno-Galar / Tapu Fini / Amoonguss,Urshifu-Rapid-Strike / Incineroar / Rillaboom / Volcarona / Regieleki / Sylveon,0
Landorus / Urshifu-Rapid-Strike / Sableye / Rillaboom / Incineroar / Zapdos,Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,0
Suicune / Sylveon / Amoonguss / Entei / Rillaboom / Latios,Charjabug / Landorus / Whimsicott / Gastrodon / Incineroar / Sylveon,0
Rillaboom / Tapu Lele / Incineroar / Mamoswine / Salamence / Whimsicott,Rillaboom / Dragapult / Volcarona / Urshifu-Rapid-Strike / Clefairy / Celesteela,0
Ninetales-Alola / Avalugg / Porygon2 / Tapu Fini / Rillaboom / Landorus,Urshifu-Rapid-Strike / Incineroar / Rillaboom / Ninetales-Alola / Landorus / Whimsicott,0
Rillaboom / Urshifu-Rapid-Strike / Incineroar / Regieleki / Landorus / Togekiss,Hatterene / Indeedee-F / Torkoal / Landorus / Stakataka / Rillaboom,0
Celesteela / Tapu Fini / Spectrier / Mienshao / Regieleki / Rillaboom,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,0
