team1,team2,outcome
"['Dragonite', 'Glimmora', 'Dondozo', 'Tatsugiri-Stretchy', 'Cresselia', 'Urshifu-*']","['Chien-Pao', 'Raging Bolt', 'Gouging Fire', 'Rillaboom', 'Dondozo', 'Ting-Lu']",0
"['Gardevoir', 'Tinkaton', 'Primarina', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Indeedee-F']","['Gothitelle', 'Ting-Lu', 'Scream Tail', 'Incineroar', 'Scizor', 'Dewgong']",0
"['Blaziken', 'Landorus-Therian', 'Kingambit', 'Zapdos', 'Ogerpon-Wellspring', 'Flutter Mane']","['Flutter Mane', 'Rillaboom', 'Ogerpon-Hearthflame', 'Sneasler', 'Tornadus', 'Raging Bolt']",1
"['Torkoal', 'Flutter Mane', 'Incineroar', 'Raging Bolt', 'Exeggutor', 'Ogerpon-Wellspring']","['Talonflame', 'Walking Wake', 'Dragonite', 'Chien-Pao', 'Flutter Mane', 'Chi-Yu']",1
"['Ogerpon-Wellspring', 'Dragonite', 'Dondozo', 'Chien-Pao', 'Glimmora', 'Tatsugiri']","['Armarouge', 'Indeedee-F', 'Amoonguss', 'Iron Jugulis', 'Archaludon', 'Iron Moth']",1
"['Okidogi', 'Rillaboom', 'Farigiraf', 'Ursaluna-Bloodmoon', 'Ogerpon-Hearthflame', 'Iron Jugulis']","['Moltres-Galar', 'Sableye', 'Comfey', 'Glastrier', 'Ogerpon-Wellspring', 'Volcarona']",0
"['Ninetales-Alola', 'Entei', 'Farigiraf', 'Ursaluna-Bloodmoon', 'Porygon2', 'Gholdengo']","['Incineroar', 'Chien-Pao', 'Farigiraf', 'Urshifu-*', 'Sylveon', 'Jolteon']",0
"['Toxtricity-Low-Key', 'Arcanine-Hisui', 'Ursaluna', 'Flutter Mane', 'Dusclops', 'Oranguru']","['Arcanine-Hisui', 'Zapdos-Galar', 'Ogerpon-Wellspring', 'Smeargle', 'Shiftry', 'Flutter Mane']",1
"['Lucario', 'Whimsicott', 'Articuno', 'Gouging Fire', 'Ninetales-Alola', 'Ogerpon-Wellspring']","['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']",1
"['Urshifu-*', 'Toxtricity', 'Flutter Mane', 'Orthworm', 'Landorus-Therian', 'Ogerpon-Wellspring']","['Flutter Mane', 'Torkoal', 'Raging Bolt', 'Incineroar', 'Farigiraf', 'Lilligant-Hisui']",0
"['Amoonguss', 'Flutter Mane', 'Landorus-Therian', 'Okidogi', 'Gastrodon-East', 'Ogerpon-Hearthflame']","['Chien-Pao', 'Dragonite', 'Flutter Mane', 'Okidogi', 'Gouging Fire', 'Ogerpon-Wellspring']",1
"['Chi-Yu', 'Landorus', 'Ogerpon-Wellspring', 'Urshifu-*', 'Tornadus', 'Flutter Mane']","['Tornadus', 'Farigiraf', 'Ogerpon-Hearthflame', 'Urshifu-*', 'Chien-Pao', 'Kommo-o']",1
"['Moltres-Galar', 'Sableye', 'Comfey', 'Archaludon', 'Glastrier', 'Ogerpon-Wellspring']","['Gouging Fire', 'Metagross', 'Raging Bolt', 'Ninetales-Alola', 'Urshifu-*', 'Landorus-Therian']",1
"['Chien-Pao', 'Incineroar', 'Landorus', 'Raging Bolt', 'Rillaboom', 'Urshifu-*']","['Farigiraf', 'Chien-Pao', 'Heatran', 'Zapdos-Galar', 'Ogerpon-Wellspring', 'Kingambit']",1
"['Incineroar', 'Chien-Pao', 'Farigiraf', 'Urshifu-*', 'Sylveon', 'Jolteon']","['Forretress', 'Dusclops', 'Ursaluna-Bloodmoon', 'Farigiraf', 'Raging Bolt', 'Incineroar']",0
"['Sandslash-Alola', 'Garchomp', 'Okidogi', 'Abomasnow', 'Kingambit', 'Rotom-Mow']","['Flutter Mane', 'Rillaboom', 'Ogerpon-Hearthflame', 'Sneasler', 'Tornadus', 'Raging Bolt']",1
"['Primarina', 'Incineroar', 'Rillaboom', 'Thundurus', 'Indeedee-F', 'Iron Crown']","['Dondozo', 'Ting-Lu', 'Chien-Pao', 'Dragonite', 'Gouging Fire', 'Ogerpon']",1
"['Cresselia', 'Ursaluna', 'Ogerpon-Cornerstone', 'Sableye', 'Tornadus', 'Glimmora']","['Chien-Pao', 'Raging Bolt', 'Gouging Fire', 'Rillaboom', 'Dondozo', 'Ting-Lu']",1
"['Chien-Pao', 'Flutter Mane', 'Incineroar', 'Tornadus', 'Ogerpon-Wellspring', 'Archaludon']","['Dragapult', 'Armarouge', 'Indeedee-F', 'Slowking-Galar', 'Glastrier']",0
"['Tornadus', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Farigiraf', 'Incineroar', 'Iron Hands']","['Archaludon', 'Pelipper', 'Amoonguss', 'Raging Bolt', 'Flutter Mane', 'Basculegion']",1
"['Urshifu-*', 'Tornadus', 'Flutter Mane', 'Landorus', 'Incineroar', 'Rillaboom']","['Flutter Mane', 'Torkoal', 'Typhlosion-Hisui', 'Walking Wake', 'Lilligant-Hisui', 'Chi-Yu']",0
"['Ursaluna-Bloodmoon', 'Tornadus', 'Farigiraf', 'Iron Hands', 'Ogerpon-Hearthflame', 'Urshifu-*']","['Lucario', 'Whimsicott', 'Articuno', 'Gouging Fire', 'Ninetales-Alola', 'Ogerpon-Wellspring']",0
"['Indeedee-F', 'Gallade', 'Kingambit', 'Torkoal', 'Kleavor', 'Hatterene']","['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']",0
"['Indeedee-F', 'Iron Crown', 'Tornadus', 'Pawmot', 'Okidogi', 'Arcanine-Hisui']","['Chi-Yu', 'Iron Bundle', 'Ninetales-Alola', 'Weezing', 'Incineroar', 'Urshifu-*']",1
"['Slowking', 'Indeedee-F', 'Ursaluna-Bloodmoon', 'Iron Hands', 'Kingambit', 'Enamorus-Therian']","['Flutter Mane', 'Annihilape', 'Indeedee', 'Clefairy', 'Illumise', 'Porygon-Z']",1
"['Cramorant', 'Clodsire', 'Sinistcha', 'Gardevoir', 'Incineroar', 'Dragonite']","['Flutter Mane', 'Incineroar', 'Ogerpon-Wellspring', 'Weezing', 'Raging Bolt', 'Torkoal']",0
"['Gyarados', 'Incineroar', 'Iron Treads', 'Regieleki', 'Whimsicott', 'Chien-Pao']","['Tornadus', 'Okidogi', 'Amoonguss', 'Gouging Fire', 'Annihilape', 'Iron Valiant']",0
"['Rillaboom', 'Incineroar', 'Farigiraf', 'Flutter Mane', 'Urshifu-*', 'Ogerpon-Hearthflame']","['Dondozo', 'Tatsugiri', 'Archaludon', 'Tornadus', 'Landorus', 'Urshifu-*']",1
"['Ninetales-Alola', 'Iron Bundle', 'Dondozo', 'Ting-Lu', 'Raging Bolt', 'Incineroar']","['Lucario', 'Whimsicott', 'Articuno', 'Gouging Fire', 'Ninetales-Alola', 'Ogerpon-Wellspring']",1
"['Flutter Mane', 'Ogerpon', 'Amoonguss', 'Incineroar', 'Urshifu-*', 'Raging Bolt']","['Tornadus', 'Landorus-Therian', 'Ogerpon-Wellspring', 'Brute Bonnet', 'Shiftry', 'Okidogi']",0
"['Arcanine-Hisui', 'Zapdos-Galar', 'Ogerpon-Wellspring', 'Smeargle', 'Shiftry', 'Flutter Mane']","['Blaziken', 'Landorus-Therian', 'Kingambit', 'Zapdos', 'Ogerpon-Wellspring', 'Flutter Mane']",1
"['Registeel', 'Cresselia', 'Ogerpon-Wellspring', 'Incineroar', 'Urshifu-*', 'Raging Bolt']","['Urshifu-*', 'Flutter Mane', 'Ogerpon-Wellspring', 'Incineroar', 'Raging Bolt', 'Landorus']",0
"['Indeedee-F', 'Armarouge', 'Hatterene', 'Pelipper', 'Torkoal', 'Vaporeon']","['Incineroar', 'Rillaboom', 'Urshifu-*', 'Raging Bolt', 'Bronzong', 'Grimmsnarl']",1
"['Farigiraf', 'Ursaluna-Bloodmoon', 'Incineroar', 'Flutter Mane', 'Urshifu-*', 'Ogerpon-Wellspring']","['Glimmora', 'Tornadus', 'Urshifu-*', 'Ogerpon-Wellspring', 'Flutter Mane', 'Chi-Yu']",0
"['Landorus-Therian', 'Tornadus', 'Ogerpon-Wellspring', 'Urshifu-*', 'Flutter Mane', 'Chi-Yu']","['Gouging Fire', 'Kingambit', 'Ogerpon-Wellspring', 'Flutter Mane', 'Rillaboom', 'Landorus']",0
"['Tornadus', 'Farigiraf', 'Entei', 'Iron Hands', 'Urshifu-*', 'Ursaluna-Bloodmoon']","['Regice', 'Ninetales-Alola', 'Flutter Mane', 'Chi-Yu', 'Iron Hands', 'Salamence']",1
"['Tornadus', 'Farigiraf', 'Urshifu-*', 'Archaludon', 'Landorus', 'Basculegion']","['Torterra', 'Ogerpon-Wellspring', 'Gouging Fire', 'Chien-Pao', 'Articuno-Galar', 'Meowstic']",0
"['Grimmsnarl', 'Roaring Moon', 'Ogerpon-Wellspring', 'Gholdengo', 'Chi-Yu', 'Flutter Mane']","['Indeedee-F', 'Iron Crown', 'Tornadus', 'Pawmot', 'Okidogi', 'Arcanine-Hisui']",1
"['Urshifu-*', 'Weezing-Galar', 'Flutter Mane', 'Slaking', 'Latios', 'Kommo-o']","['Araquanid', 'Metagross', 'Tornadus', 'Urshifu-*', 'Sinistcha-Masterpiece', 'Iron Hands']",0
"['Ninetales-Alola', 'Glaceon', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Amoonguss']","['Chien-Pao', 'Urshifu-*', 'Raging Bolt', 'Incineroar', 'Amoonguss', 'Gholdengo']",1
"['Flutter Mane', 'Annihilape', 'Indeedee', 'Clefairy', 'Illumise', 'Porygon-Z']","['Roaring Moon', 'Flutter Mane', 'Torkoal', 'Electabuzz', 'Scream Tail', 'Incineroar']",0
"['Sableye', 'Comfey', 'Ursaluna-Bloodmoon', 'Archaludon', 'Glastrier', 'Ogerpon-Wellspring']","['Weezing', 'Roaring Moon', 'Ogerpon-Wellspring', 'Flutter Mane', 'Entei', 'Landorus-Therian']",0
"['Azumarill', 'Tornadus', 'Incineroar', 'Ogerpon-Wellspring', 'Archaludon', 'Chien-Pao']","['Incineroar', 'Rillaboom', 'Urshifu-*', 'Raging Bolt', 'Bronzong', 'Grimmsnarl']",0
"['Chien-Pao', 'Kingambit', 'Amoonguss', 'Ogerpon-Hearthflame', 'Urshifu-*', 'Raging Bolt']","['Whimsicott', 'Iron Crown', 'Indeedee-F', 'Flutter Mane', 'Roaring Moon', 'Iron Hands']",1
"['Chien-Pao', 'Dragonite', 'Flutter Mane', 'Okidogi', 'Gouging Fire', 'Ogerpon-Wellspring']","['Armarouge', 'Indeedee-F', 'Ursaluna-Bloodmoon', 'Lilligant-Hisui', 'Torkoal', 'Glimmora']",1
"['Incineroar', 'Flutter Mane', 'Porygon2', 'Rillaboom', 'Okidogi', 'Urshifu-*']","['Incineroar', 'Gholdengo', 'Ogerpon-Wellspring', 'Tornadus', 'Urshifu-*', 'Archaludon']",1
"['Excadrill', 'Tornadus', 'Zapdos-Galar', 'Farigiraf', 'Chien-Pao', 'Ogerpon-Wellspring']","['Grafaiai', 'Sneasler', 'Venusaur', 'Slowbro-Galar', 'Gastrodon-East', 'Torkoal']",1
"['Whimsicott', 'Iron Crown', 'Indeedee-F', 'Flutter Mane', 'Roaring Moon', 'Iron Hands']","['Pelipper', 'Barraskewda', 'Archaludon', 'Zapdos', 'Tornadus', 'Magmar']",0
"['Ursaluna-Bloodmoon', 'Salamence', 'Chi-Yu', 'Indeedee-F', 'Iron Hands', 'Ogerpon-Wellspring']","['Azumarill', 'Tornadus', 'Incineroar', 'Ogerpon-Wellspring', 'Archaludon', 'Chien-Pao']",0
"['Dragonite', 'Chien-Pao', 'Chi-Yu', 'Flutter Mane', 'Dondozo', 'Tatsugiri-Stretchy']","['Tornadus', 'Farigiraf', 'Basculegion', 'Iron Hands', 'Okidogi', 'Landorus']",1
"['Iron Boulder', 'Thundurus', 'Tyranitar', 'Garchomp', 'Ogerpon-Wellspring', 'Iron Moth']","['Tornadus', 'Glimmora', 'Flutter Mane', 'Entei', 'Ogerpon-Wellspring', 'Urshifu-*']",0
"['Regice', 'Ninetales-Alola', 'Flutter Mane', 'Chi-Yu', 'Iron Hands', 'Salamence']","['Chien-Pao', 'Dragonite', 'Flutter Mane', 'Okidogi', 'Gouging Fire', 'Ogerpon-Wellspring']",0
"['Pelipper', 'Kingdra', 'Archaludon', 'Chien-Pao', 'Arcanine-Hisui', 'Ogerpon']","['Incineroar', 'Urshifu-*', 'Latias', 'Primarina', 'Ogerpon-Cornerstone', 'Raikou']",1
"['Chien-Pao', 'Kingambit', 'Raging Bolt', 'Ogerpon-Hearthflame', 'Amoonguss', 'Urshifu-*']","['Ninetales-Alola', 'Articuno', 'Scream Tail', 'Ting-Lu', 'Gyarados', 'Rhydon']",0
"['Registeel', 'Cresselia', 'Ogerpon-Wellspring', 'Incineroar', 'Urshifu-*', 'Raging Bolt']","['Torkoal', 'Flutter Mane', 'Incineroar', 'Raging Bolt', 'Exeggutor', 'Walking Wake']",1
"['Armarouge', 'Indeedee-F', 'Amoonguss', 'Iron Jugulis', 'Archaludon', 'Iron Moth']","['Flutter Mane', 'Tornadus', 'Chi-Yu', 'Raging Bolt', 'Rillaboom', 'Ogerpon-Wellspring']",1
"['Flutter Mane', 'Entei', 'Urshifu-*', 'Raging Bolt', 'Ogerpon-Wellspring', 'Glimmora']","['Smeargle', 'Shiftry', 'Flutter Mane', 'Ogerpon-Wellspring', 'Zapdos-Galar', 'Arcanine-Hisui']",1
"['Ninetales-Alola', 'Glaceon', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Amoonguss']","['Iron Boulder', 'Thundurus', 'Tyranitar', 'Garchomp', 'Ogerpon-Wellspring', 'Iron Moth']",0
"['Urshifu-*', 'Weezing-Galar', 'Flutter Mane', 'Slaking', 'Latios', 'Kommo-o']","['Tornadus', 'Iron Hands', 'Ursaluna-Bloodmoon', 'Urshifu-*', 'Ogerpon-Hearthflame', 'Farigiraf']",0
"['Tornadus', 'Glimmora', 'Flutter Mane', 'Entei', 'Ogerpon-Wellspring', 'Urshifu-*']","['Ogerpon-Hearthflame', 'Kingambit', 'Chien-Pao', 'Raging Bolt', 'Amoonguss', 'Urshifu-*']",0
"['Whimsicott', 'Torkoal', 'Primarina', 'Gholdengo', 'Arcanine-Hisui', 'Landorus']","['Dragonite', 'Dondozo', 'Chien-Pao', 'Ting-Lu', 'Ogerpon', 'Gouging Fire']",0
"['Torterra', 'Ogerpon-Wellspring', 'Gouging Fire', 'Chien-Pao', 'Articuno-Galar', 'Meowstic']","['Ursaluna-Bloodmoon', 'Sinistcha-Masterpiece', 'Grimmsnarl', 'Incineroar', 'Ogerpon-Wellspring', 'Iron Hands']",0
"['Ninetales-Alola', 'Glaceon', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Amoonguss']","['Flutter Mane', 'Entei', 'Urshifu-*', 'Raging Bolt', 'Ogerpon-Wellspring', 'Glimmora']",1
"['Azumarill', 'Tornadus', 'Incineroar', 'Ogerpon-Wellspring', 'Archaludon', 'Chien-Pao']","['Sandslash-Alola', 'Garchomp', 'Okidogi', 'Abomasnow', 'Kingambit', 'Rotom-Mow']",0
"['Pelipper', 'Kingdra', 'Archaludon', 'Chien-Pao', 'Arcanine-Hisui', 'Ogerpon']","['Revavroom', 'Flutter Mane', 'Dragonite', 'Chien-Pao', 'Ogerpon-Wellspring', 'Metagross']",1
"['Flutter Mane', 'Annihilape', 'Indeedee', 'Clefairy', 'Illumise', 'Porygon-Z']","['Urshifu-*', 'Incineroar', 'Ogerpon-Wellspring', 'Flutter Mane', 'Raging Bolt', 'Rillaboom']",0
"['Dondozo', 'Raging Bolt', 'Entei', 'Tatsugiri', 'Chien-Pao', 'Dragonite']","['Regice', 'Ninetales-Alola', 'Flutter Mane', 'Chi-Yu', 'Iron Hands', 'Salamence']",1
"['Kommo-o', 'Indeedee-F', 'Incineroar', 'Rillaboom', 'Moltres-Galar', 'Basculegion']","['Regigigas', 'Weezing-Galar', 'Iron Crown', 'Indeedee-F', 'Ambipom', 'Amoonguss']",0
"['Registeel', 'Cresselia', 'Ogerpon-Wellspring', 'Incineroar', 'Urshifu-*', 'Raging Bolt']","['Iron Boulder', 'Whimsicott', 'Okidogi', 'Entei', 'Ogerpon-Wellspring', 'Flutter Mane']",0
"['Dragonite', 'Dondozo', 'Chien-Pao', 'Ting-Lu', 'Ogerpon', 'Gouging Fire']","['Araquanid', 'Metagross', 'Tornadus', 'Urshifu-*', 'Sinistcha-Masterpiece', 'Iron Hands']",1
"['Rillaboom', 'Entei', 'Flutter Mane', 'Zapdos-Galar', 'Archaludon', 'Pelipper']","['Ninetales-Alola', 'Eiscue', 'Flamigo', 'Cryogonal', 'Articuno', 'Farigiraf']",1
"['Dragapult', 'Flutter Mane', 'Sinistcha-Masterpiece', 'Golurk', 'Typhlosion-Hisui', 'Annihilape']","['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']",0
"['Gyarados', 'Milotic', 'Dragonite', 'Raging Bolt', 'Clefairy', 'Clodsire']","['Archaludon', 'Pelipper', 'Amoonguss', 'Raging Bolt', 'Flutter Mane', 'Basculegion']",0
"['Tyranitar', 'Excadrill', 'Salamence', 'Okidogi', 'Corviknight', 'Amoonguss']","['Milotic', 'Sinistcha-Masterpiece', 'Ninetales-Alola', 'Ogerpon-Hearthflame', 'Articuno', 'Moltres-Galar']",1
"['Iron Hands', 'Sinistcha', 'Clefairy', 'Incineroar', 'Ninetales-Alola', 'Rillaboom']","['Iron Boulder', 'Whimsicott', 'Okidogi', 'Entei', 'Ogerpon-Wellspring', 'Flutter Mane']",1
"['Garchomp', 'Tyranitar', 'Rabsca', 'Indeedee-F', 'Metagross', 'Orthworm']","['Gyarados', 'Milotic', 'Dragonite', 'Raging Bolt', 'Clefairy', 'Clodsire']",0
"['Salamence', 'Tornadus', 'Incineroar', 'Ogerpon-Wellspring', 'Fezandipiti', 'Heatran']","['Dragapult', 'Flutter Mane', 'Sinistcha-Masterpiece', 'Golurk', 'Typhlosion-Hisui', 'Annihilape']",0
"['Incineroar', 'Annihilape', 'Swampert', 'Shiftry', 'Tornadus', 'Weezing-Galar']","['Indeedee-F', 'Iron Crown', 'Virizion', 'Politoed', 'Kingdra', 'Archaludon']",1
"['Incineroar', 'Rillaboom', 'Urshifu-*', 'Raging Bolt', 'Bronzong', 'Grimmsnarl']","['Rillaboom', 'Incineroar', 'Cresselia', 'Heatran', 'Amoonguss', 'Ursaluna-Bloodmoon']",1
"['Ursaluna-Bloodmoon', 'Tornadus', 'Farigiraf', 'Iron Hands', 'Ogerpon-Hearthflame', 'Urshifu-*']","['Archaludon', 'Overqwil', 'Urshifu-*', 'Pelipper', 'Shiftry', 'Landorus']",0
"['Ogerpon-Wellspring', 'Tornadus', 'Urshifu-*', 'Gholdengo', 'Incineroar', 'Landorus']","['Chien-Pao', 'Dragonite', 'Flutter Mane', 'Okidogi', 'Gouging Fire', 'Ogerpon-Wellspring']",1
"['Volcarona', 'Rillaboom', 'Ogerpon-Wellspring', 'Raging Bolt', 'Incineroar', 'Chien-Pao']","['Incineroar', 'Rillaboom', 'Urshifu-*', 'Raging Bolt', 'Bronzong', 'Grimmsnarl']",0
"['Chi-Yu', 'Ogerpon-Wellspring', 'Urshifu-*', 'Tornadus', 'Flutter Mane', 'Bronzong']","['Flamigo', 'Gothitelle', 'Smeargle', 'Tatsugiri', 'Dondozo', 'Muk-Alola']",0
"['Goodra-Hisui', 'Thundurus', 'Incineroar', 'Farigiraf', 'Urshifu-*', 'Gouging Fire']","['Archaludon', 'Pelipper', 'Amoonguss', 'Raging Bolt', 'Flutter Mane', 'Basculegion']",1
"['Chi-Yu', 'Glimmora', 'Tornadus', 'Ogerpon-Wellspring', 'Flutter Mane', 'Urshifu-*']","['Raging Bolt', 'Iron Bundle', 'Archaludon', 'Thundurus', 'Iron Hands', 'Iron Valiant']",1
"['Indeedee-F', 'Armarouge', 'Kingambit', 'Torkoal', 'Lilligant-Hisui', 'Ursaluna']","['Ninetales-Alola', 'Articuno', 'Scream Tail', 'Ting-Lu', 'Gyarados', 'Rhydon']",1
"['Indeedee-F', 'Gallade', 'Hatterene', 'Torkoal', 'Urshifu-*', 'Incineroar']","['Iron Moth', 'Kingambit', 'Flutter Mane', 'Araquanid', 'Farigiraf', 'Arboliva']",1
"['Rillaboom', 'Landorus', 'Chien-Pao', 'Incineroar', 'Urshifu-*', 'Raging Bolt']","['Landorus-Therian', 'Tornadus', 'Articuno', 'Heatran', 'Abomasnow', 'Iron Hands']",0
"['Corviknight', 'Thundurus', 'Ogerpon-Wellspring', 'Incineroar', 'Flutter Mane', 'Urshifu-*']","['Indeedee-F', 'Iron Crown', 'Tornadus', 'Pawmot', 'Okidogi', 'Arcanine-Hisui']",1
"['Raging Bolt', 'Rillaboom', 'Chien-Pao', 'Ogerpon-Wellspring', 'Incineroar', 'Flutter Mane']","['Pelipper', 'Flutter Mane', 'Goodra-Hisui', 'Overqwil', 'Swampert', 'Sinistcha']",0
"['Whimsicott', 'Iron Crown', 'Indeedee-F', 'Flutter Mane', 'Roaring Moon', 'Iron Hands']","['Raichu', 'Dragonite', 'Chien-Pao', 'Entei', 'Ogerpon-Wellspring', 'Flutter Mane']",0
"['Incineroar', 'Ogerpon-Wellspring', 'Amoonguss', 'Roaring Moon', 'Gholdengo', 'Flutter Mane']","['Ogerpon-Hearthflame', 'Kingambit', 'Chien-Pao', 'Raging Bolt', 'Amoonguss', 'Urshifu-*']",1
"['Articuno', 'Raging Bolt', 'Ninetales-Alola', 'Landorus', 'Arcanine-Hisui', 'Ogerpon-Wellspring']","['Moltres-Galar', 'Sableye', 'Comfey', 'Archaludon', 'Glastrier', 'Ogerpon-Wellspring']",0
"['Decidueye-Hisui', 'Gouging Fire', 'Flutter Mane', 'Urshifu-*', 'Ogerpon-Wellspring', 'Dragonite']","['Chi-Yu', 'Flutter Mane', 'Urshifu-*', 'Glimmora', 'Dondozo', 'Tatsugiri']",1
"['Torkoal', 'Flutter Mane', 'Incineroar', 'Raging Bolt', 'Exeggutor', 'Walking Wake']","['Ninetales-Alola', 'Articuno', 'Scream Tail', 'Ting-Lu', 'Gyarados', 'Rhydon']",0
"['Corviknight', 'Whimsicott', 'Okidogi', 'Suicune', 'Flutter Mane', 'Arcanine-Hisui']","['Flutter Mane', 'Gouging Fire', 'Ogerpon-Wellspring', 'Rillaboom', 'Kingambit', 'Landorus']",0
"['Abomasnow', 'Iron Bundle', 'Incineroar', 'Metagross', 'Flutter Mane', 'Alcremie']","['Landorus-Therian', 'Tornadus', 'Articuno', 'Heatran', 'Abomasnow', 'Iron Hands']",1
"['Iron Moth', 'Kingambit', 'Flutter Mane', 'Araquanid', 'Farigiraf', 'Arboliva']","['Dragonite', 'Chien-Pao', 'Chi-Yu', 'Flutter Mane', 'Dondozo', 'Tatsugiri-Stretchy']",1
"['Chien-Pao', 'Kingambit', 'Amoonguss', 'Ogerpon-Hearthflame', 'Urshifu-*', 'Raging Bolt']","['Bronzong', 'Rhyperior', 'Snorlax', 'Gastrodon', 'Indeedee-F', 'Hatterene']",0
